Number,Name,Position,Age,Height,Weight,College,Team
4,Adam Vinatieri,PK,45,73,212,South Dakota State,Colts
4,Phil Dawson,PK,43,71,200,Texas,Cardinals
3,Matt Bryant,PK,42,69,203,Baylor,Falcons
9,Shane Lechler,P,41,74,240,Texas A&M,Texans
12,Tom Brady,QB,40,76,225,Michigan,Patriots
23,Terence Newman,CB,39,70,197,Kansas State,Vikings
92,James Harrison,LB,39,73,242,Kent State,Patriots
92,John Denney,LS,39,77,242,BYU,Dolphins
11,Sebastian Janikowski,PK,39,73,265,Florida State,Raiders
9,Drew Brees,QB,39,73,209,Purdue,Saints
90,Julius Peppers,DE,38,79,295,North Carolina,Panthers
15,Josh McCown,QB,38,76,218,Sam Houston State,Jets
93,Dwight Freeney,DE,37,73,268,Syracuse,Lions
8,Donnie Jones,P,37,74,221,LSU,Eagles
10,Eli Manning,QB,37,77,220,Ole Miss,Giants
82,Benjamin Watson,TE,37,75,251,Georgia,Ravens
85,Antonio Gates,TE,37,76,255,Kent State,Chargers
91,Cameron Wake,DE,36,75,263,Penn State,Dolphins
56,Karlos Dansby,LB,36,76,250,Auburn,Cardinals
59,Jon Condo,LS,36,75,240,Maryland,Raiders
91,L.P. Ladouceur,LS,36,77,256,California,Cowboys
48,Don Muhlbach,LS,36,76,258,Texas A&M,Lions
77,Andrew Whitworth,OT,36,79,333,LSU,Rams
71,Jason Peters,OT,36,76,328,Arkansas,Eagles
9,Jon Ryan,P,36,73,217,University of Regina,Seahawks
9,Nick Novak,PK,36,73,200,Maryland,Chargers
17,Philip Rivers,QB,36,77,228,NC State,Chargers
8,Matt Schaub,QB,36,78,245,Virginia,Falcons
29,Mike Adams,S,36,71,205,Delaware,Panthers
61,Joe Berger,C,35,77,305,Michigan Tech,Vikings
29,John Kuhn,FB,35,73,250,Shippensburg,Saints
56,Derrick Johnson,LB,35,75,242,Texas,Chiefs
55,Terrell Suggs,LB,35,75,265,Arizona State,Ravens
64,Khalif Barnes,OT,35,78,320,Washington,Cardinals
4,Sam Koch,P,35,73,222,Nebraska,Ravens
2,Dustin Colquitt,P,35,75,210,Tennessee,Chiefs
2,Andy Lee,P,35,73,185,Pittsburgh,Cardinals
9,Robbie Gould,PK,35,73,190,Penn State,49ers
1,Mike Nugent,PK,35,70,190,Ohio State,Bears
14,Ryan Fitzpatrick,QB,35,74,223,Harvard,Buccaneers
16,Matt Cassel,QB,35,76,228,USC,Titans
7,Ben Roethlisberger,QB,35,77,240,Miami (OH),Steelers
82,Jason Witten,TE,35,78,263,Tennessee,Cowboys
24,Adam Jones,CB,34,70,185,West Virginia,Bengals
24,Brent Grimes,CB,34,70,185,Shippensburg,Buccaneers
25,Tramon Williams,CB,34,73,192,Louisiana Tech,Cardinals
96,Brian Robison,DE,34,75,259,Texas,Vikings
95,Kyle Williams,DT,34,73,303,LSU,Bills
92,Frostee Rucker,DT,34,75,280,USC,Cardinals
92,Haloti Ngata,DT,34,76,340,Oregon,Lions
64,Richie Incognito,G,34,75,319,Nebraska,Bills
73,Jahri Evans,G,34,76,318,Bloomsburg,Packers
57,Lorenzo Alexander,LB,34,73,245,California,Bills
45,David Harris,LB,34,74,250,Michigan,Patriots
58,Elvis Dumervil,LB,34,71,250,Louisville,49ers
91,Tamba Hali,LB,34,75,275,Penn State,Chiefs
58,Thomas Davis,LB,34,73,235,Georgia,Panthers
73,Eric Winston,OT,34,79,310,Miami,Bengals
72,Donald Penn,OT,34,76,315,Utah State,Raiders
64,Zach Strief,OT,34,79,320,Northwestern,Saints
3,Stephen Gostkowski,PK,34,73,215,Memphis,Patriots
3,Brandon Weeden,QB,34,75,230,Oklahoma State,Titans
10,Kellen Clemens,QB,34,74,220,Oregon,Chargers
6,Jay Cutler,QB,34,75,231,Vanderbilt,Dolphins
12,Aaron Rodgers,QB,34,74,225,California,Packers
3,Derek Anderson,QB,34,78,235,Oregon State,Panthers
23,Frank Gore,RB,34,69,212,Miami,Colts
43,Darren Sproles,RB,34,66,190,Kansas State,Eagles
27,Reggie Nelson,S,34,71,210,Florida,Raiders
23,DeAngelo Hall,S,34,70,200,Virginia Tech,Redskins
85,Vernon Davis,TE,34,75,244,Maryland,Redskins
11,Larry Fitzgerald,WR,34,75,218,Pittsburgh,Cardinals
20,Leon Hall,CB,33,71,195,Michigan,49ers
22,William Gay,CB,33,70,187,Louisville,Steelers
24,Johnathan Joseph,CB,33,71,190,South Carolina,Texans
97,Alan Branch,DE,33,78,350,Michigan,Patriots
92,Tom Johnson,DT,33,75,288,Southern Mississippi,Vikings
92,Brandon Mebane,DT,33,73,311,California,Chargers
94,Domata Peko Sr.,DT,33,75,325,Michigan State,Broncos
76,Tony McDaniel,DT,33,79,305,Tennessee,Saints
73,Allen Barbre,G,33,76,310,Missouri Southern State,Broncos
74,Jermon Bushrod,G,33,77,318,Towson,Dolphins
73,Marshal Yanda,G,33,75,305,Iowa,Ravens
51,Paul Posluszny,LB,33,74,232,Penn State,Jaguars
55,Ahmad Brooks,LB,33,75,259,Virginia,Packers
46,Clark Harris,LS,33,77,250,Rutgers,Bengals
61,Brett Goode,LS,33,73,255,Arkansas,Packers
51,Zak DeOssie,LS,33,77,250,Brown,Giants
74,Joe Staley,OT,33,77,315,Central Michigan,49ers
73,Joe Thomas,OT,33,78,312,Wisconsin,Browns
2,Nick Folk,PK,33,73,222,Arizona,Buccaneers
5,Matt Prater,PK,33,70,201,UCF,Lions
2,Mason Crosby,PK,33,73,207,Colorado,Packers
5,Drew Stanton,QB,33,75,243,Michigan State,Cardinals
8,Matt Moore,QB,33,75,219,Oregon State,Dolphins
5,Joe Flacco,QB,33,78,245,Delaware,Ravens
11,Alex Smith,QB,33,76,217,Utah,Redskins
39,Danny Woodhead,RB,33,68,204,Chadron State,Ravens
32,Eric Weddle,S,33,71,200,Utah,Ravens
41,Antoine Bethea,S,33,71,206,Howard,Cardinals
86,Zach Miller,TE,33,77,245,Nebraska-Omaha,Bears
87,Brent Celek,TE,33,76,255,Cincinnati,Eagles
80,Anthony Fasano,TE,33,76,258,Notre Dame,Dolphins
89,Marcedes Lewis,TE,33,78,267,UCLA,Jaguars
82,Delanie Walker,TE,33,74,248,Central Missouri State,Titans
83,Harry Douglas,WR,33,73,183,Louisville,Titans
15,Brandon Marshall,WR,33,77,232,UCF,Giants
51,Alex Mack,C,32,76,311,California,Falcons
65,John Sullivan,C,32,76,310,Notre Dame,Rams
67,Ryan Kalil,C,32,74,300,USC,Panthers
24,Darrelle Revis,CB,32,71,198,Pittsburgh,Chiefs
91,Robert Ayers,DE,32,75,275,Tennessee,Buccaneers
72,Michael Bennett,DE,32,76,274,Texas A&M,Seahawks
95,William Hayes,DE,32,75,278,Winston-Salem,Dolphins
56,Chris Long,DE,32,75,270,Virginia,Eagles
99,Steve McLendon,DT,32,75,310,Troy,Jets
92,Pat Sims,DT,32,74,330,Auburn,Bengals
35,Mike Tolbert,FB,32,69,250,Coastal Carolina,Bills
73,Ramon Foster,G,32,77,328,Tennessee,Steelers
73,John Greco,G,32,76,318,Toledo,Giants
97,Willie Young,LB,32,76,258,NC State,Bears
57,Dannell Ellerbe,LB,32,73,245,Georgia,Eagles
93,Erik Walden,LB,32,74,250,Middle Tennessee,Titans
43,Matt Overton,LS,32,73,243,Western Washington,Jaguars
65,Garrison Sanborn,LS,32,73,240,Florida State,Buccaneers
44,J.J. Jansen,LS,32,74,235,Notre Dame,Panthers
79,Ty Nsekhe,OT,32,80,338,Texas State,Redskins
69,Demar Dotson,OT,32,81,315,Southern Mississippi,Buccaneers
66,Will Beatty,OT,32,78,319,Connecticut,Eagles
74,Chris Clark,OT,32,77,305,Southern Mississippi,Texans
68,Breno Giacomini,OT,32,79,320,Louisville,Texans
76,Duane Brown,OT,32,76,305,Virginia Tech,Seahawks
4,Britton Colquitt,P,32,75,210,Tennessee,Browns
10,Kevin Huber,P,32,73,210,Cincinnati,Bengals
4,Stephen Hauschka,PK,32,76,210,NC State,Bills
2,Brian Hoyer,QB,32,74,215,Michigan State,Patriots
2,Matt Ryan,QB,32,76,217,Boston College,Falcons
7,Chad Henne,QB,32,75,222,Michigan,Jaguars
22,Matt Forte,RB,32,74,218,Tulane,Jets
23,Adrian Peterson,RB,32,73,220,Oklahoma,Cardinals
33,Colt Anderson,S,32,70,195,Montana,Bills
27,Glover Quin,S,32,73,207,New Mexico,Lions
21,Lardarius Webb,S,32,70,185,Nicholls,Ravens
21,Quintin Demps,S,32,71,216,UTEP,Bears
24,Corey Graham,S,32,73,196,New Hampshire,Eagles
88,Greg Olsen,TE,32,77,255,Miami,Panthers
80,Danny Amendola,WR,32,71,190,Texas Tech,Patriots
87,Jordy Nelson,WR,32,75,217,Kansas State,Packers
18,Matthew Slater,WR,32,73,205,UCLA,Patriots
