Name,Occurrence
Aaron,85
Ab,5
Abbie,80
Abby,11
Abe,50
Abel,10
Abigail,14
Abner,32
Abraham,91
Abram,25
Ace,8
Ada,689
Adah,27
Adaline,16
Adam,114
Adda,17
Addie,347
Addison,21
Adela,17
Adelaide,74
Adelbert,14
Adele,64
Adelia,23
Adeline,70
Adella,18
Adolf,5
Adolfo,7
Adolph,94
Adolphus,14
Adrian,18
Affie,5
Agatha,21
Agnes,565
Agusta,7
Aimee,13
Al,33
Alan,6
Alanzo,7
Albert,1504
Alberta,90
Albertha,5
Albertina,6
Alberto,6
Albin,11
Albina,7
Albion,7
Alby,5
Alcee,5
Alcide,7
Alda,6
Alden,8
Alec,8
Alex,172
Alexander,225
Alexina,5
Alexis,6
Alf,6
Alfonso,6
Alford,16
Alfred,523
Alice,1542
Alicia,7
Alida,18
Aline,9
Allan,15
Allen,206
Allene,5
Allie,140
Allison,9
Alma,378
Almeda,24
Almer,5
Almira,7
Almon,6
Almond,5
Alois,8
Alonza,10
Alonzo,133
Aloysius,11
Alpha,43
Alpheus,8
Alphonse,16
Alphonsine,7
Alphonso,8
Alta,119
Altha,18
Althea,11
Altie,5
Alton,18
Alva,98
Alvah,13
Alvena,7
Alvie,7
Alvin,132
Alvina,53
Alvis,7
Alvy,5
Alwina,6
Alyce,6
Amalia,11
Amanda,288
Ambrose,38
Amelia,252
America,13
Amie,9
Amon,5
Amos,134
Amy,196
Ana,7
Anabel,5
Anastasia,11
Anderson,58
Andres,8
Andrew,673
Andy,51
Angela,24
Angelina,11
Angeline,29
Angelo,8
Angie,34
Angus,24
Anie,5
Anita,20
Ann,150
Anna,3143
Annabel,10
Annabell,6
Annabelle,22
Anne,168
Annetta,11
Annette,27
Annie,1500
Annis,5
Ansel,5
Anson,9
Anthony,139
Antoine,7
Antoinette,35
Anton,64
Antone,6
Antonia,28
Antonio,29
Ara,10
Arah,6
Arch,55
Archer,8
Archibald,30
Archie,195
Ardella,7
Arie,11
Arizona,13
Arlie,6
Arminda,6
Arminta,15
Armstead,8
Arnold,42
Aron,8
Arrie,11
Art,14
Artelia,5
Arther,16
Arthur,1691
Artie,51
Arvilla,14
Asa,62
Asberry,6
Asbury,9
Ashby,6
Ashley,7
Atha,5
Attie,10
Aubrey,16
Audie,8
Audrey,7
August,234
Augusta,183
Auguste,6
Augustine,16
Augustus,65
Aura,13
Aurelia,18
Aurora,8
Austin,65
Auther,6
Author,8
Ava,21
Avery,14
Avis,9
Axel,12
Babe,5
Bailey,8
Ballard,7
Bama,6
Barbara,130
Barbra,5
Barney,52
Bart,6
Bartholomew,7
Barton,15
Bascom,6
Basil,12
Baxter,7
Bayard,5
Beatrice,123
Beaulah,5
Beckie,8
Bedford,8
Bee,6
Bell,38
Bella,16
Belle,264
Belva,5
Ben,334
Benedict,8
Benjaman,12
Benjamin,478
Benjamine,9
Benjiman,35
Bennett,14
Bennie,40
Benny,5
Benton,11
Berdie,5
Bernadette,6
Bernadine,6
Bernard,144
Bernice,57
Bernie,11
Berry,27
Bert,341
Berta,26
Bertha,1516
Bertie,108
Bertina,5
Berton,10
